Type,Slug,Full Name
client,bbr,BuiltByRays
client,qia,QiAlly
client,zjk,Zaitullah Jan Khebarkhil
client,misc,Miscellaneous
entity,finance,Fin
entity,legal,Leg
entity,ops,Ops
entity,company,Co
entity,project,Proj
entity,resources,Res
entity,immigration,Imm
entity,marketing,Mkt
entity,technology,Tech
entity,human-resources,HR
entity,business-development,BD
topic,invoice,Inv
topic,contract,Cont
topic,msa,MSA
topic,sop,SOP
topic,tax-returns,Tax
topic,proposal,Prop
topic,hr-onboarding,HR-Ob
topic,brand-assets,Brand
topic,payroll,Pay
topic,receipt,Rec
topic,evidence,Evi
topic,medical,MD
topic,change-of-address,COA
topic,license,Lic
topic,application,Apps
topic,documents,Docs
topic,social-security,Soc-Sec
topic,employment,Emp
topic,financial,Fin
topic,bio-and-ids,Bio
topic,form-filings,Forms
topic,asylum,Asy
topic,special-immigrant,SI
topic,family-sponsorship,FS
topic,employment-authorization,EA
topic,adjustment-of-status,AOS
topic,indiana-bmv,BMV
topic,archive,Arch
topic,drafts,Draft
topic,strategy,Strat
topic,timeline,Timeline
topic,cover-letter,CL
topic,affidavit,Aff
topic,personal-statement,PS
topic,evidence-of-status,EOS
topic,evidence-of-relationship,EOR
topic,evidence-of-service,EOSvc
topic,evidence-of-eligibility,EOE
topic,supporting-docs,SD
topic,sponsor-proof,SP
topic,eligibility-documents,ED
topic,medical-exam,ME
topic,photos-relationship,PR
topic,letters-of-support,LOS
topic,utility-bills,UB
topic,offer-letter,OL
topic,pay-stubs,PS
topic,w2-forms,W2
topic,bank-statements,BS
topic,employment-income-statement,EIS
topic,passport-copy,PC
topic,birth-certificate,BC
topic,id-card-copy,ID
topic,marriage-certificate,MC
